 A.V.I.N.O.I.S.E.;http://www.bierebel.com/uploads/beer/photo/1836/detail_avinoise.jpg;Brasserie Saint-Monon;6.5;Bières thématiques;no-description
 Aardmonnik;http://www.bierebel.com/uploads/beer/photo/711/detail_aardmonik.jpg;Struise Brouwers;8.0;Spéciales brunes;no-description
 Aarschotse Bruin;http://www.bierebel.com/assets/fallback/detail_default-ddf6e18e9349037f27a1750f71872e23.png;Stadsbrouwerij Aarschot;6.0;Spéciales brunes;no-description
 Aarsenaaltje;http://www.bierebel.com/assets/fallback/detail_default-ddf6e18e9349037f27a1750f71872e23.png;Brouwerij De Koninck;6.5;Bières thématiques;Brouwerij De Koninck Mechelsesteenweg, 2912018 ANTWERPEN (Anvers)Antwerpen
 Abadía;http://www.bierebel.com/assets/fallback/detail_default-ddf6e18e9349037f27a1750f71872e23.png;Brouwerij Haacht;6.2;Spéciales blondes;Brouwerij Haacht Provinciesteenweg, 283190 BOORTMEERBEEKVlaams-Brabant
 Abbaye d'Aulne Ambrée;http://www.bierebel.com/uploads/beer/photo/737/detail_ADA_Ambree_Val_de_Sambre_6.jpg;Brasserie du Val de Sambre;6.4;Bières d'abbaye;no-description
 Abbaye d'Aulne Blonde des Pères;http://www.bierebel.com/uploads/beer/photo/735/detail_abbaye_aulne_blonde.jpg;Brasserie du Val de Sambre;6.3;Bières d'abbaye;
 Abbaye d'Aulne Brune des Pères;http://www.bierebel.com/uploads/beer/photo/736/detail_abbaye_aulne_brune.jpg;Brasserie du Val de Sambre;6.5;Bières d'abbaye;
 Abbaye d'Aulne Super Noël;http://www.bierebel.com/uploads/beer/photo/740/detail_ADA_Super_Noel_9.jpg;Brasserie du Val de Sambre;9.0;Bières de Noël;Brasserie du Val de Sambre Rue Vandervelde, 2736534 GOZEEHainaut
 Abbaye d'Aulne Triple Blonde;http://www.bierebel.com/uploads/beer/photo/738/detail_abbaye_aulne_tripleblonde.jpg;Brasserie du Val de Sambre;8.0;Bières d'abbaye;Brasserie du Val de Sambre Rue Vandervelde, 2736534 GOZEEHainaut
 Abbaye d'Aulne Triple Brune;http://www.bierebel.com/uploads/beer/photo/739/detail_abbaye_aulne_triplebrune.jpg;Brasserie du Val de Sambre;8.0;Bières d'abbaye;Brasserie du Val de Sambre Rue Vandervelde, 2736534 GOZEEHainaut
 Abbaye d'Heylissem Blonde;http://www.bierebel.com/uploads/beer/photo/741/detail_Heylissem_Blonde_6.jpg;Brasserie du Val de Sambre;6.3;Bières thématiques;Brasserie du Val de Sambre Rue Vandervelde, 2736534 GOZEEHainaut
 Abbaye d'Heylissem Brune;http://www.bierebel.com/uploads/beer/photo/742/detail_Heylissem_Brune_6.jpg;Brasserie du Val de Sambre;6.3;Bières thématiques;Brasserie du Val de Sambre Rue Vandervelde, 2736534 GOZEEHainaut
 Abbaye d'Heylissem Triple Blonde;http://www.bierebel.com/uploads/beer/photo/743/detail_Heylissem_Triple_Blonde_6.jpg;Brasserie du Val de Sambre;8.0;Bières thématiques;Brasserie du Val de Sambre Rue Vandervelde, 2736534 GOZEEHainaut
 Abbaye d'Heylissem Triple Brune;http://www.bierebel.com/uploads/beer/photo/744/detail_Heylissem_Triple_Brune_8.jpg;Brasserie du Val de Sambre;8.0;Bières thématiques;Brasserie du Val de Sambre Rue Vandervelde, 2736534 GOZEEHainaut
 Abbaye de Boneffe;http://www.bierebel.com/assets/fallback/detail_default-ddf6e18e9349037f27a1750f71872e23.png;Brasserie de Tubize;9.0;Bières thématiques;no-description
 Abbaye de Bonne-Espérance Blonde;http://www.bierebel.com/uploads/beer/photo/774/detail_Bonne_Esp_rance_75.jpg;Brasserie la Binchoise;7.8;Bières d'abbaye;Brasserie la Binchoise  Faubourg Saint Paul, 387130 BINCHEHainaut
 Abbaye de Bonne-Espérance Brune;http://www.bierebel.com/uploads/beer/photo/2844/detail_Bonne_Esp_rance_75.jpg;Brasserie la Binchoise;6.3;Bières d'abbaye;Brasserie la Binchoise  Faubourg Saint Paul, 387130 BINCHEHainaut
 Abbaye de Cambron Blonde;http://www.bierebel.com/assets/fallback/detail_default-ddf6e18e9349037f27a1750f71872e23.png;Brasserie de Cambron;5.0;Bières d'abbaye;no-description
 Abbaye de Dieleghem Blonde;http://www.bierebel.com/assets/fallback/detail_default-ddf6e18e9349037f27a1750f71872e23.png;Brasserie Lefèbvre;6.2;Bières thématiques;no-description
 Abbaye de Dieleghem Brune;http://www.bierebel.com/assets/fallback/detail_default-ddf6e18e9349037f27a1750f71872e23.png;Brasserie Lefèbvre;0.0;Spéciales brunes;Brasserie Lefèbvre Chemin du Croly, 541430 QUENASTBrabant Wallon
 Abbaye de Forest;http://www.bierebel.com/uploads/beer/photo/58/detail_abbaye_de_forest.jpg;Brasserie de Silly;6.5;Bières d'abbaye;no-description
 Abbaye de Gembloux;http://www.bierebel.com/uploads/beer/photo/1715/detail_abbaye_de_gembloux.jpg;Brasserie Lefèbvre;7.8;Bières thématiques;no-description
 Abbaye de Malonne Blonde;http://www.bierebel.com/assets/fallback/detail_default-ddf6e18e9349037f27a1750f71872e23.png;Brasserie de Malonne;6.3;Spéciales blondes;no-description
 Abbaye de Malonne Brune;http://www.bierebel.com/assets/fallback/detail_default-ddf6e18e9349037f27a1750f71872e23.png;Brasserie de Malonne;6.3;Spéciales brunes;no-description
