Aecht Schlenkerla Eiche Doppelbock;no-picture;br. Heller;8;Bière fumée;Allemagne
'Merica;no-picture;Outland;6.4;American IPA;France
'n Toeback;no-picture;Scheldebrouwerij;9;Blonde forte;Pays-Bas
't Ooievaartje Krieken Rosé;no-picture;br. de Molen;5.2;Bière à la cerise;Pays-Bas
08003 Barceloneta;no-picture;Birra 08;2.9;Bière blonde;Espagne
08015 Eixample;no-picture;Birra 08;4.5;Bière Ambrée;Espagne
109;no-picture;br. de la Loire;6;Bière ambrée;France
11 Siècles de Normandie;no-picture;Northmaen;11;Bière ambrée;France
1209;no-picture;l'Antre de l'Echoppe;5;Stout;France
1356 Jean le Bon;no-picture;br. de Bellefois;5.6;Bière blonde;France
1356 Prince Noir;no-picture;br. de Bellefois;6;Bière dorée;France
15th Anniversary Imperial Black IPA;no-picture;Stone br. co.;10.8;Black IPA;États Unis
1664;no-picture;Kronenbourg (Carlsberg);6.3;Pils;France
1664 Gold;no-picture;Kronenbourg (Carlsberg);6.1;Bière blonde;France
1664 Millésime 2011;no-picture;Kronenbourg (Carlsberg);6.7;Bière rousse;France
1845;no-picture;Fuller's;6.3;Bitter ale;Angleterre
2 Craigs;no-picture;Cromarty br. co.;2;Stout;Écosse
2 di Picche;no-picture;Menaresta;6.8;Black IPA;Italie
22 Verguenza Summer;no-picture;Menaresta;6;American IPA;Italie
28 Brett;no-picture;br. Caulier;7.5;Bière ambrée;Belgique
3 Brasseurs Triple (la);no-picture;3 Brasseurs;7.9;Blonde triple;France
3 Ermites Blonde (les);no-picture;br. du Pic St Loup;5.5;Bière blonde;France
3 Loups IPA;no-picture;br. les 3 Loups;7;India Pale Ale;France
3 Ter;no-picture;br. de la Goutte d'Or;8.5;Triple au café;France
3° Miglio;no-picture;Rurale;5.8;American Pale Ale;Italie
5 A.M. Saint;no-picture;BrewDog;5;Bière ambrée;Écosse
5 Barrel Pale Ale;no-picture;Odell br. co.;5.2;American Pale Ale;États Unis
507 Clovis;no-picture;br. de Bellefois;5;Bière blanche;France
621;no-picture;br. Authentique;7;Bière brune;Belgique
7 Seas IPA;no-picture;Siren;6;Black IPA;Angleterre
732 Charles Martel;no-picture;br. de Bellefois;5.6;Blonde dorée;France
8 Ball;no-picture;Beavertown br.;6.5;IPA au seigle;Angleterre
